,x,y,label
326,11.21753,-4.900078,0
327,10.416265,4.9689746,0
328,10.295829,-11.255415,1
329,12.863537,0.9028638,0
330,-0.8015723,4.0177264,0
331,-6.7864075,7.7925196,1
332,-0.4852827,-8.91524,1
333,2.8462176,5.4596367,0
334,-15.866135,4.150252,1
335,-4.4423347,-8.5856085,1
336,-23.830141,1.1929204,1
337,6.293566,2.4830506,0
338,6.2245154,-3.2561958,0
339,-6.2665114,-8.172618,1
340,12.055019,-1.5769374,1
341,-2.4782917,-12.103336,1
342,15.309705,0.48855805,1
343,7.544177,6.414473,0
344,12.525047,-2.9919188,0
345,15.735334,4.0416694,1
346,-3.1214368,3.8770378,1
347,5.294795,-3.1489403,0
348,9.0959,1.2189163,0
349,-8.668719,-6.2877297,1
350,-23.04731,0.9445224,1
351,3.7877917,-10.069222,1
352,7.446335,0.68190396,0
353,5.1944084,2.7817945,0
354,14.096473,6.410554,1
355,0.36858952,-1.5973729,0
356,14.890328,1.7294593,1
357,-6.3241324,-5.0443897,1
358,7.087552,2.1185508,0
359,1.325373,12.286093,1
360,-25.623882,0.62732565,1
361,13.501336,-6.778513,1
362,-5.8718743,-5.6071177,1
363,-7.66191,7.6277533,1
364,-8.109441,0.61331165,1
365,12.479706,-3.2210662,0
366,1.9471618,-5.888583,0
367,9.916694,-2.8736837,0
368,-13.417046,4.438213,1
369,-3.074198,-0.91171736,1
370,17.143469,-6.4330616,1
371,7.69271,11.920654,1
372,7.7226043,7.809966,1
373,7.965849,11.152088,1
374,-23.65155,3.7411358,1
375,4.868204,-2.1513562,0
376,-2.9072556,-7.5085297,1
377,-6.1987133,-14.898796,1
378,2.6409338,3.484021,1
379,-23.385115,1.4265069,1
380,12.10706,11.604869,1
381,0.5185273,-1.1253142,0
382,-23.50125,-2.2353191,1
383,-9.876929,9.244753,1
384,16.347734,1.383255,1
385,-1.739625,0.04404404,0
386,14.052928,4.9805055,1
387,6.9987226,1.8554381,0
388,8.595905,2.3529074,0
389,12.666536,-1.3031374,1
390,12.179661,-2.070566,1
391,2.557747,-4.8888507,0
392,-7.6554017,8.368917,1
393,3.0039284,6.7966843,0
394,-12.133518,6.1849074,1
395,11.204628,2.890366,0
396,-6.0780582,-3.093958,1
397,-4.641178,2.9109542,1
398,11.810976,-4.4531965,1
399,3.1931887,-0.9079107,0
400,-0.37091038,2.7849832,1
401,-8.922251,-4.4370413,1
402,12.06351,-6.7288284,1
403,-12.158063,8.631507,1
404,12.35178,2.1866841,0
405,-7.9978504,-0.49164,1
406,3.216357,2.845486,0
407,-10.40199,-0.92673427,1
408,10.811191,-4.8311687,0
409,-2.2726989,-3.1036098,1
410,-3.0704875,9.996723,1
411,-8.959053,5.4340897,1
412,-0.26558843,-6.8545337,1
413,8.172441,5.472423,0
414,11.754479,-9.119237,1
415,4.3727794,3.1585333,0
416,5.993485,5.0927396,0
417,-2.2383993,-5.669817,1
418,-11.401636,-2.9050505,1
419,-5.7056556,-2.277471,1
420,7.1806436,-6.5415516,1
421,13.07336,1.7695205,1
422,7.4218125,3.615642,0
423,-1.7685273,6.0428605,1
424,10.872557,-0.0069876886,0
425,-2.4704478,-4.397898,1
426,7.663127,5.648318,0
427,-26.026852,-0.4750586,1
428,15.291666,-4.137699,0
429,4.42128,0.8837356,0
430,16.517458,0.6580249,1
431,-21.415674,2.7876613,1
432,-15.353268,-5.7703342,1
